geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1101,-23.525050725229377,-46.63122212476192,sao paulo,SP
1102,-23.522363706340684,-46.62936473932012,são paulo,SP
1103,-23.533970039413685,-46.627258117404345,são paulo,SP
1104,-23.53448767110051,-46.62461223313523,são paulo,SP
1105,-23.53315601862409,-46.62591946378897,são paulo,SP
1106,-23.52686037414156,-46.62640566388715,são paulo,SP
1107,-23.521656419429934,-46.6249305647321,são paulo,SP
1108,-23.52167295254057,-46.62610017872921,sao paulo,SP
1109,-23.52187213266778,-46.621782785734894,são paulo,SP
1120,-23.527628957816358,-46.63718366857837,são paulo,SP
1121,-23.52458446433722,-46.63174087177563,são paulo,SP
1122,-23.529452951151256,-46.633619844711184,são paulo,SP
1123,-23.526123118789315,-46.6345321980207,são paulo,SP
1124,-23.52679554149116,-46.631729472935554,são paulo,SP
1125,-23.5238922603439,-46.63828401887012,são paulo,SP
1126,-23.52526884179699,-46.63710317485141,são paulo,SP
1127,-23.52153484707712,-46.637587948381295,são paulo,SP
1128,-23.521948816261776,-46.63897020843672,são paulo,SP
1129,-23.522047449622043,-46.642131776011375,são paulo,SP
1130,-23.52139840106176,-46.642056307519205,são paulo,SP
1131,-23.485404038117107,-46.46139542543968,são paulo,SP
1132,-23.51929180460501,-46.64626539384839,são paulo,SP
1133,-23.518811975301496,-46.651049014715184,são paulo,SP
1134,-23.51867680707737,-46.65013330350848,são paulo,SP
1135,-23.520168282820705,-46.6486317583074,são paulo,SP
1136,-23.52253290452421,-46.65022457729816,são paulo,SP
1137,-23.51957274271452,-46.65166009603059,são paulo,SP
1138,-23.5188254074384,-46.65183216180969,são paulo,SP
1139,-23.51760421729488,-46.66066743228114,são paulo,SP
1140,-23.51600481349181,-46.65953218067981,são paulo,SP
1141,-23.51738361587512,-46.66437253566279,são paulo,SP
1142,-23.51993430515264,-46.6251300217966,são paulo,SP
1144,-23.522071997230043,-46.67109596592724,são paulo,SP
1150,-23.53182553621104,-46.65547667412762,são paulo,SP
1151,-23.527788191788307,-46.65299738412486,são paulo,SP
1152,-23.52673711962604,-46.65214846073055,são paulo,SP
1153,-23.528022998615025,-46.64900168797869,são paulo,SP
1154,-23.527557136274456,-46.65536140368747,são paulo,SP
1155,-23.52661770986288,-46.660403146120416,são paulo,SP
1156,-23.526318626406702,-46.66221271712327,são paulo,SP
1189,-23.53210825506378,-46.63839470107914,sao paulo,SP
1200,-23.531567773241413,-46.64986907784642,sao paulo,SP
1201,-23.53404340161002,-46.644898930463455,são paulo,SP
1202,-23.52910793366611,-46.64295758076061,são paulo,SP
1203,-23.530109175688136,-46.64065871994926,são paulo,SP
1204,-23.52964079877663,-46.640359131831055,são paulo,SP
1205,-23.529185706359264,-46.638752956287135,são paulo,SP
1206,-23.53024331750252,-46.63915998167807,são paulo,SP
1207,-23.536840620318525,-46.63688462366268,são paulo,SP
1208,-23.535670232586973,-46.63773444186042,são paulo,SP
1209,-23.538538016100155,-46.637947838882816,são paulo,SP
1210,-23.53735884901036,-46.638134402446745,são paulo,SP
1211,-23.535126406021707,-46.646369402995,são paulo,SP
1212,-23.53628778573488,-46.63693403996196,são paulo,SP
1213,-23.53530599999999,-46.63893352401599,sao paulo,SP
1214,-23.53535293756125,-46.64071492547178,são paulo,SP
1215,-23.53227117707312,-46.64242552192854,são paulo,SP
1216,-23.529254427145244,-46.64248676172888,são paulo,SP
1217,-23.529179326389325,-46.64320518512321,são paulo,SP
1218,-23.528693441023695,-46.6411545,são paulo,SP
1219,-23.540223573951277,-46.64406984485543,são paulo,SP
1220,-23.54216419900167,-46.64449265557727,são paulo,SP
1221,-23.542028947544576,-46.64581940743838,são paulo,SP
1222,-23.544035696087477,-46.64436299999999,são paulo,SP
1223,-23.543674470713864,-46.64446732682933,são paulo,SP
1224,-23.53910589647413,-46.64803427699232,são paulo,SP
1225,-23.538694007913872,-46.6473446128261,são paulo,SP
1226,-23.534478565641404,-46.65030800805008,são paulo,SP
1227,-23.537290101005617,-46.6544308936015,são paulo,SP
1228,-23.50377408604073,-46.596854268798,são paulo,SP
1229,-23.534881124617694,-46.65500699792252,são paulo,SP
1230,-23.53162749402739,-46.65313760144839,são paulo,SP
1231,-23.532781725229384,-46.65414957799064,são paulo,SP
1232,-23.532478847625374,-46.6520329962491,são paulo,SP
1233,-23.532378789341564,-46.659581800998325,são paulo,SP
1234,-23.5332113782965,-46.66143527185642,são paulo,SP
1235,-23.53307426172888,-46.661443218708506,são paulo,SP
1236,-23.54020568716605,-46.66577950473185,são paulo,SP
1237,-23.54243125189645,-46.66835539716661,são paulo,SP
1238,-23.539771561198,-46.65032214155458,são paulo,SP
1239,-23.51271682039333,-46.457361203882,são paulo,SP
1240,-23.540788110190977,-46.65321297584976,são paulo,SP
1241,-23.5434079911132,-46.65258855467712,são paulo,SP
1242,-23.544248522332577,-46.65507299999999,são paulo,SP
1243,-23.545657791563272,-46.654803966146936,são paulo,SP
1244,-23.54360973105776,-46.63520447450093,são paulo,SP
1245,-23.54767199999999,-46.66224889716663,são paulo,SP
1246,-23.5500909775232,-46.6624392171793,são paulo,SP
1247,-23.548225537047752,-46.66439903220031,são paulo,SP
1248,-23.546192605603345,-46.66627347835991,são paulo,SP
1249,-23.54672386733222,-46.66951111033521,são paulo,SP
1250,-23.544963849558613,-46.67041453774023,são paulo,SP
1251,-23.545614226758595,-46.67337757103707,são paulo,SP
1252,-23.540428110190977,-46.67710841548848,são paulo,SP
1253,-23.54314391144911,-46.6773998669282,sao paulo,SP
1254,-23.540736782676472,-46.65436978948578,são paulo,SP
1255,-23.54425396947311,-46.675253330976965,são paulo,SP
1256,-23.54618655926476,-46.68210032500435,são paulo,SP
1257,-23.539839192336565,-46.68438057799065,são paulo,SP
1258,-23.54091319954992,-46.6834873667381,são paulo,SP
1259,-23.53867416847477,-46.68178681724272,são paulo,SP
1262,-23.550856391462712,-46.67735184892536,sao paulo,SP
1290,-23.54096134139296,-46.657748702752585,são paulo,SP
1301,-23.54753794255291,-46.64372758312655,são paulo,SP
1302,-23.54740796251956,-46.64208812115525,são paulo,SP
1303,-23.547760072162266,-46.645371707600006,são paulo,SP
1304,-23.550155644180307,-46.64680198404405,são paulo,SP
1305,-23.550348341392965,-46.64723499042069,são paulo,SP
1306,-23.54761758386774,-46.64509353038266,são paulo,SP
1307,-23.502632175688145,-46.64632514654624,são paulo,SP
1308,-23.553773895089147,-46.65079515528881,são paulo,SP
1309,-23.55304518872989,-46.65607793574357,são paulo,SP
1310,-23.55483652400601,-46.64900121549415,são paulo,SP
1311,-23.55446653926945,-46.638846035951225,são paulo,SP
1312,-23.55134065259191,-46.64643795883222,são paulo,SP
1313,-23.551538175139875,-46.646650970021376,são paulo,SP
1314,-23.549954857608693,-46.64086610658429,são paulo,SP
1315,-23.55074650014423,-46.63950533152522,são paulo,SP
1316,-23.550440311962603,-46.63742345490217,são paulo,SP
1317,-23.554133985636884,-46.638626176820445,são paulo,SP
1318,-23.55409868126785,-46.62049675506376,são paulo,SP
1319,-23.55071881932019,-46.63809035636795,são paulo,SP
1320,-23.5544071537596,-46.63764434263373,são paulo,SP
1321,-23.55590152039933,-46.6397802238444,são paulo,SP
1322,-23.560809432973624,-46.64230593949449,são paulo,SP
1323,-23.56076997530149,-46.640457,são paulo,SP
1324,-23.551359454065437,-46.642602792399984,são paulo,SP
1325,-23.5523181268394,-46.64341783749782,são paulo,SP
1326,-23.55269765667379,-46.64364470774424,são paulo,SP
1327,-23.55338398251486,-46.64368487301637,são paulo,SP
1328,-23.55464294532287,-46.64383871498368,são paulo,SP
1329,-23.55838747960067,-46.64620408159732,são paulo,SP
1330,-23.55635498834323,-46.64823150721336,são paulo,SP
1331,-23.55849298612154,-46.647736250620376,são paulo,SP
1332,-23.55495048542905,-46.64465214210284,são paulo,SP
1333,-23.5622799955566,-46.64404036164807,são paulo,SP
1401,-23.569747571977175,-46.65100357197719,são paulo,SP
1402,-23.567787000000003,-46.649099250000006,são paulo,SP
1403,-23.562928980293155,-46.6477446947025,são paulo,SP
1404,-23.562623588118207,-46.6500606021409,são paulo,SP
1405,-23.5589222828207,-46.65164153274859,são paulo,SP
1406,-23.56582006549717,-46.65801073994457,são paulo,SP
1407,-23.565911741329536,-46.65777066902303,são paulo,SP
1408,-23.562374856512186,-46.6561529007733,são paulo,SP
1409,-23.55449255398464,-46.65536195905712,são paulo,SP
1410,-23.558595737434405,-46.65657075535223,são paulo,SP
1411,-23.55919898846866,-46.65935606768161,são paulo,SP
1412,-23.55875219455827,-46.66092309922672,são paulo,SP
1413,-23.55863183097696,-46.66070142630853,são paulo,SP
1414,-23.55492310796928,-46.65843481986844,são paulo,SP
1415,-23.55081162753189,-46.6056238724681,são paulo,SP
1416,-23.55517382391756,-46.662147485118815,são paulo,SP
1417,-23.457266177772105,-46.47048889936751,são paulo,SP
1418,-23.558449254227057,-46.64577331320336,são paulo,SP
1419,-23.55684757813488,-46.64553023887457,são paulo,SP
1420,-23.557000673322207,-46.64689253996194,são paulo,SP
1421,-23.55789335942636,-46.655393223555954,são paulo,SP
1422,-23.558487694702496,-46.65611192867444,são paulo,SP
1423,-23.563424399388317,-46.65368580598998,são paulo,SP
1424,-23.559910302527538,-46.64547278711988,são paulo,SP
1425,-23.5674332031566,-46.655393223555954,são paulo,SP
1426,-23.56104539217496,-46.662776363075245,são paulo,SP
1427,-23.562488504847437,-46.65855274756196,são paulo,SP
1428,-23.569875157914545,-46.65933149278663,sao paulo,SP
1429,-23.57482409963074,-46.660922733135216,são paulo,SP
1430,-23.568106369409687,-46.64281961143048,são paulo,SP
1431,-23.56539655408982,-46.64182898553625,são paulo,SP
1432,-23.573318815425058,-46.66301119845341,são paulo,SP
1433,-23.57273383542035,-46.66380575062036,são paulo,SP
1434,-23.56828097307979,-46.66614197876394,são paulo,SP
1435,-23.577477956979635,-46.66753583152522,são paulo,SP
1436,-23.568730302527538,-46.66512924216626,são paulo,SP
1437,-23.57095471827582,-46.66969642853022,são paulo,SP
1438,-23.56676068526744,-46.66998168304573,são paulo,SP
1439,-23.56458409019567,-46.67188626187309,são paulo,SP
1440,-23.563817696635738,-46.67399484944304,são paulo,SP
1441,-23.56242659339832,-46.67422891895093,são paulo,SP
1442,-23.5633472811986,-46.67501388972638,são paulo,SP
1443,-23.567251494864117,-46.68013034624039,são paulo,SP
1444,-23.56949807882737,-46.68271853733621,são paulo,SP
1445,-23.568267331669443,-46.6863297850424,são paulo,SP
1446,-23.574006303912515,-46.673550948785326,são paulo,SP
1447,-23.570233638351933,-46.6769884846238,são paulo,SP
1448,-23.57163,-46.67662708703419,são paulo,SP
1449,-23.57231934387447,-46.675071785186624,são paulo,SP
1450,-23.574924503462444,-46.68287624147377,são paulo,SP
1451,-23.567833340556245,-46.68140505839938,são paulo,SP
1452,-23.567582368024706,-46.64839771357262,são paulo,SP
1453,-23.58067163641869,-46.68355449042071,são paulo,SP
1454,-23.58075689064575,-46.68407291188179,são paulo,SP
1455,-23.576880618763283,-46.68592719011487,são paulo,SP
1456,-23.574471745513137,-46.68895990161002,são paulo,SP
1457,-23.57235079655492,-46.69061417790984,são paulo,SP
1472,-23.57054369248079,-46.69129667943905,são paulo,SP
1489,-23.57664998889148,-46.68740004775216,são paulo,SP
1501,-23.551445829070627,-46.63407889716661,são paulo,SP
1502,-23.553282751312864,-46.63489838816425,são paulo,SP
1503,-23.555488240827945,-46.63556119900167,são paulo,SP
1504,-23.5621847463212,-46.63876383478706,são paulo,SP
1505,-23.55430365889549,-46.629898155981294,são paulo,SP
1506,-23.55585336663973,-46.63459014210284,são paulo,SP
1507,-23.557383618096814,-46.62815418359399,são paulo,SP
1508,-23.559401943937893,-46.633346125858445,são paulo,SP
1509,-23.5633408642738,-46.63313375575627,são paulo,SP
1510,-23.5538190313636,-46.631453956287146,são paulo,SP
1511,-23.553148756592982,-46.63247267485142,são paulo,SP
1512,-23.55290769525076,-46.62797979378495,são paulo,SP
1513,-23.48657178573489,-46.41679306549717,sao paulo,SP
1514,-23.55292030325788,-46.62754797501552,são paulo,SP
1516,-23.554455631975284,-46.61272943923469,são paulo,SP
1517,-23.559325710802653,-46.62377125714126,são paulo,SP
1518,-23.556613347221347,-46.62292373757862,são paulo,SP
1519,-23.55732157146978,-46.62162079141903,são paulo,SP
1520,-23.55824746073055,-46.6182466455653,são paulo,SP
1521,-23.56008627921401,-46.6174636604247,são paulo,SP
1522,-23.559013992121344,-46.614693258670464,são paulo,SP
1523,-23.562404402994996,-46.61436050389515,são paulo,SP
1524,-23.56381477324141,-46.529049064804674,são paulo,SP
1525,-23.56074275575626,-46.63213073703038,são paulo,SP
1526,-23.560787462115528,-46.6300592031566,são paulo,SP
1527,-23.560781144324537,-46.626129250908846,são paulo,SP
1528,-23.56318883873857,-46.62466516403137,são paulo,SP
1529,-23.56421133943106,-46.629869526371934,são paulo,SP
1530,-23.56687320122337,-46.6258261172601,são paulo,SP
1531,-23.56721568304573,-46.62930674355123,são paulo,SP
1532,-23.566340169023043,-46.63225862836861,são paulo,SP
1533,-23.56826979378497,-46.63704463835192,são paulo,SP
1534,-23.56284740383172,-46.62383224034859,são paulo,SP
1535,-23.567656913959272,-46.6209884439379,são paulo,SP
1536,-23.56253963239443,-46.618258688181626,são paulo,SP
1537,-23.56404666694557,-46.62096412669517,são paulo,SP
1538,-23.573205,-46.62290025,são paulo,SP
1539,-23.566081023313515,-46.61965263503371,são paulo,SP
1540,-23.56355276741302,-46.61930591548847,são paulo,SP
1541,-23.56674815404806,-46.61713988565409,são paulo,SP
1542,-23.5690789664147,-46.61872917762138,são paulo,SP
1543,-23.49712480460501,-46.61695699362336,são paulo,SP
1544,-23.57415249347913,-46.61803134869376,são paulo,SP
1545,-23.57823747792722,-46.61468334693288,são paulo,SP
1546,-23.576252951151247,-46.618672028449424,são paulo,SP
1547,-23.58120762392521,-46.61841247836714,sao paulo,SP
1548,-23.574598302527544,-46.61064485540236,são paulo,SP
1549,-23.574171446852084,-46.612833344018696,são paulo,SP
1550,-23.571742474320544,-46.61441752247681,são paulo,SP
1551,-23.56851210214089,-46.61175392506776,são paulo,SP
1552,-23.561223537884477,-46.60912450582839,são paulo,SP
1553,-23.572749195394984,-46.60789571787178,são paulo,SP
2009,-23.515799103830265,-46.64113909097136,sao paulo,SP
2010,-23.500123928054293,-46.62578319001199,são paulo,SP
2011,-23.48287210244049,-46.626229169812845,são paulo,SP
2012,-23.50651042158182,-46.62539061226843,são paulo,SP
2013,-23.500906342704603,-46.62372342728948,são paulo,SP
2016,-23.500919514570956,-46.50930754884874,são paulo,SP
2017,-23.500143625363776,-46.62681653249086,são paulo,SP
2018,-23.49088684714803,-46.62591875304325,são paulo,SP
2019,-23.49698470191586,-46.62855053996195,são paulo,SP
2020,-23.493333678246803,-46.63205056549717,são paulo,SP
2021,-23.496580818584334,-46.63380353274858,são paulo,SP
2022,-23.502344382138418,-46.6286878575785,são paulo,SP
2028,-23.50746649624909,-46.61680530145028,são paulo,SP
2029,-23.50283944823705,-46.61513268206478,são paulo,SP
2030,-23.50154661226844,-46.6245530471753,são paulo,SP
2031,-23.50312657485819,-46.6249706135095,sao paulo,SP
2032,-23.509878496249083,-46.62304287279685,são paulo,SP
2033,-23.49313380183505,-46.60937690437997,são paulo,SP
2034,-23.49957779156327,-46.62282077699231,são paulo,SP
2035,-23.48933884041201,-46.62171469900167,são paulo,SP
2036,-23.500755905804013,-46.61746152844941,são paulo,SP
2037,-23.498923033585307,-46.61607998681402,são paulo,SP
2038,-23.49041039286608,-46.62252062704116,são paulo,SP
2039,-23.49162668008938,-46.61843130238331,são paulo,SP
2040,-23.488167572854756,-46.61962619095158,são paulo,SP
2041,-23.48684423867752,-46.61800056420992,são paulo,SP
2042,-23.48716295697963,-46.61346979239998,são paulo,SP
2043,-23.48660404281027,-46.61226528833765,são paulo,SP
2044,-23.493386242570296,-46.61742615681802,são paulo,SP
2045,-23.49258432001268,-46.614227081597335,são paulo,SP
2046,-23.48774784542202,-46.61084752914189,são paulo,SP
2047,-23.516228288983875,-46.61199481418429,sao paulo,SP
2049,-23.51335736357169,-46.61611264542106,são paulo,SP
2050,-23.51403173910785,-46.61026797224307,são paulo,SP
2051,-23.503508454902168,-46.60463787010217,são paulo,SP
2052,-23.509293150152917,-46.606300473092254,são paulo,SP
2053,-23.50862839716661,-46.600157959345566,sao paulo,SP
2054,-23.51415598917996,-46.60182857631721,são paulo,SP
2055,-23.512715424086817,-46.60262401693687,são paulo,SP
2056,-23.51038980904842,-46.59649809769749,são paulo,SP
2060,-23.516528333054428,-46.599462199001664,são paulo,SP
2064,-23.514845165416364,-46.59569025131286,são paulo,SP
2065,-23.50172637108313,-46.602397760747934,são paulo,SP
2066,-23.50475193228113,-46.601551508742574,são paulo,SP
2067,-23.50360648098565,-46.59572454302037,são paulo,SP
2068,-23.501782959201336,-46.61047690008079,são paulo,SP
2069,-23.504568736886142,-46.61252460421835,são paulo,SP
2071,-23.50143744962204,-46.59558512738765,são paulo,SP
2072,-23.498158411045072,-46.59247264071785,são paulo,SP
2073,-23.50074449125742,-46.6050029089676,são paulo,SP
2074,-23.50186270191585,-46.59346383582438,são paulo,SP
2075,-23.50123876770149,-46.59952888703907,são paulo,SP
2076,-23.50113921233187,-46.59810572952856,são paulo,SP
2077,-23.49998430030584,-46.59609694535774,são paulo,SP
2078,-23.499610239800333,-46.593363630994325,são paulo,SP
2079,-23.49758582653355,-46.601185829591984,são paulo,SP
2080,-23.496612307519207,-46.60200761726009,são paulo,SP
2081,-23.492775321397662,-46.60127966265984,são paulo,SP
2082,-23.493131518177623,-46.60420921663105,são paulo,SP
2083,-23.49233881626177,-46.59299378143572,são paulo,SP
2084,-23.49501964279533,-46.59766022439266,são paulo,SP
2085,-23.49692986185698,-46.61239722927939,sao paulo,SP
2088,-23.50424025971884,-46.620742066583865,sao paulo,SP
2089,-23.51709448459233,-46.616673100755904,sao paulo,SP
2110,-23.508061816243764,-46.59374225679054,são paulo,SP
2111,-23.511779999999995,-46.58880374999998,são paulo,SP
2112,-23.507288989728217,-46.58665534166385,são paulo,SP
2113,-23.513647599774963,-46.58613383250615,são paulo,SP
2114,-23.51952241723804,-46.58846356953654,são paulo,SP
2115,-23.525505904969908,-46.59022086114209,são paulo,SP
2116,-23.515978148767932,-46.582169967107184,são paulo,SP
2117,-23.51603425451552,-46.5873268148768,são paulo,SP
2118,-23.51161868082404,-46.59083777338562,são paulo,SP
2119,-23.50999342946302,-46.58662669863085,são paulo,SP
2120,-23.509225906745908,-46.59145091603675,são paulo,SP
2121,-23.50963483542036,-46.58199260099112,são paulo,SP
2122,-23.50935386594724,-46.58048909908246,são paulo,SP
2123,-23.508775929276048,-46.57746414251972,são paulo,SP
2124,-23.50162741326677,-46.53763533671847,são paulo,SP
2125,-23.5079381626464,-46.58447403038266,são paulo,SP
2126,-23.503785810433392,-46.58789131057761,são paulo,SP
2127,-23.500563468547647,-46.581088033585296,são paulo,SP
2128,-23.502538623925204,-46.590064417710174,são paulo,SP
2129,-23.50149206717061,-46.58485786580301,são paulo,SP
2130,-23.5043057463212,-46.581230100063415,são paulo,SP
2131,-23.502043424923546,-46.57767078420569,são paulo,SP
2132,-23.49833145406544,-46.57277607212794,são paulo,SP
2133,-23.49509998251486,-46.58230110629584,são paulo,SP
2134,-23.495878477927224,-46.57498071135092,são paulo,SP
2135,-23.49482467110052,-46.571470150297145,são paulo,SP
2136,-23.49541757063306,-46.57785025965141,são paulo,SP
2137,-23.496253962808016,-46.57187320760001,são paulo,SP
2138,-23.487860409660097,-46.57283086372553,são paulo,SP
2139,-23.487821999999998,-46.57274847140573,são paulo,SP
2141,-23.486908485140585,-46.56318498395871,são paulo,SP
2142,-23.50836114210285,-46.57548531556786,são paulo,SP
2143,-23.505579764643063,-46.57345860574758,são paulo,SP
2144,-23.502175994171623,-46.56990106549717,são paulo,SP
2145,-23.50149553621103,-46.56529291326677,sao paulo,SP
2146,-23.50095702331352,-46.57088226395057,sao paulo,SP
2147,-23.49716711043531,-46.56511343659388,são paulo,SP
2150,-23.49230580183505,-46.5675604200761,são paulo,SP
2151,-23.493537729684284,-46.56649157558708,são paulo,SP
2152,-23.49338066833055,-46.57068635429047,são paulo,SP
2161,-23.484922983899843,-46.56570942270185,são paulo,SP
2162,-23.49030645045876,-46.56191043118461,são paulo,SP
2166,-23.52388801748513,-46.58271404287503,são paulo,SP
2167,-23.515234616163585,-46.57803161267248,são paulo,SP
2168,-23.518577566478115,-46.57731889924408,são paulo,SP
2169,-23.40024693260128,-46.52348810199667,são paulo,SP
2170,-23.52347312738766,-46.56626330988512,são paulo,SP
2174,-23.522259719401006,-46.57180910144841,são paulo,SP
2175,-23.51491291173756,-46.57445726194335,sao paulo,SP
2176,-23.510779103525877,-46.5717824686364,são paulo,SP
2177,-23.48387454324581,-46.46031083514428,são paulo,SP
2178,-23.51807572262299,-46.56853405047799,são paulo,SP
2179,-23.518701115182637,-46.567310496104845,são paulo,SP
2180,-23.516185547319527,-46.56504150000001,são paulo,SP
2181,-23.51597812822438,-46.55864760271201,são paulo,SP
2185,-23.50661483819032,-46.566851558283815,são paulo,SP
2186,-23.51335483236194,-46.56871254717532,são paulo,SP
2187,-23.511815717179307,-46.56376379877663,são paulo,SP
2188,-23.5050409067459,-46.56402736580302,são paulo,SP
2189,-23.506713922009357,-46.56371855759133,são paulo,SP
2190,-23.503228575076463,-46.56109880529748,são paulo,SP
2201,-23.478863867332223,-46.58319720843673,são paulo,SP
2202,-23.491492093254084,-46.591366122540215,são paulo,SP
2203,-23.48907113488948,-46.58903096863639,são paulo,SP
2204,-23.483740588954927,-46.589543423538565,são paulo,SP
2205,-23.483149878988986,-46.58716792131685,são paulo,SP
2206,-23.48049846211552,-46.58840182278264,são paulo,SP
2207,-23.484828520399333,-46.58622964738295,são paulo,SP
2208,-23.48101574715792,-46.5844721806798,são paulo,SP
2209,-23.479788049397,-46.57533226158464,são paulo,SP
2210,-23.479536446852077,-46.57765509977495,são paulo,SP
2211,-23.496434518177622,-46.59163929225576,são paulo,SP
2212,-23.49250142055769,-46.58692816676777,são paulo,SP
2213,-23.49271170330083,-46.58430094463037,são paulo,SP
2214,-23.48979202553522,-46.58390004094288,são paulo,SP
2215,-23.486974354982973,-46.58028336663972,são paulo,SP
2216,-23.488495920624366,-46.57670158673321,são paulo,SP
2217,-23.485780498470795,-46.57516716596461,são paulo,SP
2218,-23.48379666333889,-46.58124651318598,são paulo,SP
2219,-23.485812495700834,-46.580601792399975,são paulo,SP
2220,-23.46516946779101,-46.56662947574459,são paulo,SP
2221,-23.47720496448145,-46.576050417565945,são paulo,SP
2222,-23.478236497085803,-46.56342718460538,são paulo,SP
2223,-23.47548224562871,-46.57514174824914,são paulo,SP
2224,-23.481335013302573,-46.567048185815686,são paulo,SP
2225,-23.476380432973624,-46.57262572370016,são paulo,SP
2226,-23.47152908822422,-46.56810517208145,são paulo,SP
2227,-23.471106747706184,-46.56767448182236,são paulo,SP
2228,-23.47022197085809,-46.56893609547578,são paulo,SP
2229,-23.46846789286744,-46.56248591395925,são paulo,SP
2230,-23.48039146749052,-46.561520519706846,são paulo,SP
2231,-23.47126825506378,-46.562937987042325,são paulo,SP
2232,-23.473279037191983,-46.56109123841534,são paulo,SP
2233,-23.474662021910483,-46.56192675030514,são paulo,SP
2234,-23.47487610268916,-46.56720834748116,são paulo,SP
2235,-23.47604992700101,-46.565638935193846,são paulo,SP
2236,-23.46996746655892,-46.56410977203185,são paulo,SP
2237,-23.460869221030727,-46.56958828587911,sao paulo,SP
2238,-23.46443453915196,-46.56390749999999,são paulo,SP
2239,-23.483926269699744,-46.60738819288482,são paulo,SP
2240,-23.47244025117547,-46.5979872662862,sao paulo,SP
2241,-23.485682860118864,-46.60453333236194,são paulo,SP
2242,-23.4822960313636,-46.3978034489658,são paulo,SP
2243,-23.4896661201743,-46.59682130114256,são paulo,SP
2244,-23.486533250072107,-46.60262467182304,são paulo,SP
2245,-23.482447731894485,-46.60424926103638,são paulo,SP
2246,-23.48706851457095,-46.59982303719198,são paulo,SP
2247,-23.48295864723873,-46.59994504010618,são paulo,SP
2248,-23.48139291978764,-46.596447948237056,são paulo,SP
2249,-23.48793699861502,-46.59518841465175,são paulo,SP
2250,-23.47573967277395,-46.58854301457095,são paulo,SP
2251,-23.47009183236193,-46.58458209824575,são paulo,SP
2252,-23.47739185928214,-46.58603923841536,são paulo,SP
2253,-23.4775045634197,-46.59258186663973,sao paulo,SP
2254,-23.47671686955392,-46.59170376449882,são paulo,SP
2255,-23.47513725950717,-46.58867597668649,são paulo,SP
2256,-23.471811639188648,-46.58257223757863,são paulo,SP
2257,-23.470766999999995,-46.57991126533557,são paulo,SP
